hospital_id,Hospital_address,city,contact_number,physician_id,Speciality,INSURANCE_provider_name,insurance_provider_id,,,,,,cardiologist
HSID00128001,"5678 Oak St, New York, NY 10001",Houston,617-555-2345,PHY05050,neurologist,Medicare,PID5132,,,,,,oncologist
HSID00128002,"123 Main St, Anytown, USA",Newtown,555-555-5556,PHY05051,neurologist,Aetna,PID5112,,,,,,uralogist
HSID00128003,"222 Pine St, Anytown, USA",Fivetown,555-555-5555,PHY05052,endocrinologist,Aetna,PID5112,,,,,,neurologist
HSID00128004,"5678 Pine St, New York, NY 10001",Denver,555-555-5559,PHY05053,oncologist,Cigna,PID5122,,,,,,endocrinologist
HSID00128005,"1234 Elm St, Los Angeles, CA 90001",Anytown,555-1234-5678,PHY05054,endocrinologist,Aetna,PID5112,,,,,,pulmonologist
HSID00128006,"321 Elm St, San Francisco CA 94109",Los Angeles,555-555-5559,PHY05055,endocrinologist,Aetna,PID5112,,,,,,
HSID00128007,"5678 Maple Ave, Anytown, USA",Denver,555-555-5556,PHY05056,neurologist,Medicare,PID5132,,,,,,
HSID00128008,"7890 Birch St, Houston, TX 77001",Anytown,555-1234-5678,PHY05057,oncologist,Cigna,PID5122,,,,,,
HSID00128009,"246 Birch St, Houston, TX 77002, USA",San Francisco,303-555-6789,PHY05058,cardiologist,Bluecross,PID5142,,,,,,
HSID00128010,"789 Elm St, Newtown USA",Newtown,555-987-6543,PHY05059,oncologist,Cigna,PID5122,,,,,,
HSID00128011,"123 Main St, Anytown, USA",Los Angeles,555-555-5556,PHY05060,cardiologist,Cigna,PID5122,,,,,,
HSID00128012,"101 Maple Ave, Anytown USA 45678",Fivetown,555-987-6543,PHY05061,endocrinologist,Cigna,PID5122,,,,,,
HSID00128013,"3456 Maple St, Chicago, IL 60601",New York,303-555-6789,PHY05062,uralogist,Medicare,PID5132,,,,,,
HSID00128014,"3456 Maple St, Chicago, IL 60601",Anytown,555-9876-5432,PHY05063,cardiologist,Cigna,PID5122,,,,,,
HSID00128015,"4567 Maple St, Miami, FL 33101",Los Angeles,555-9876-5432,PHY05064,oncologist,Aetna,PID5112,,,,,,
HSID00128016,"456 Pine St, New York, NY 10012",Los Angeles,555-123-4567,PHY05065,oncologist,Bluecross,PID5142,,,,,,
HSID00128017,"456 Oak St, Otherville USA",Chicago,555-555-5558,PHY05066,neurologist,Bluecross,PID5142,,,,,,
